Stimuli;;;;;;;;
-0.49148;;;;;;;;
;;;;;;;;
EXP 1A | IES SCORE;;;;;;;;
;/a/;/u/;Bassoon;Strings+Trumpet;;;;
;;;;;;;;
I;582 (528 | 639);752 (673 | 849);820 (726 | 930);563 (512 | 623);;;;
A;647 (594 | 696);1392 (1168 | 1637);1576 (1259 | 1971);862 (710 | 1067);;;;
A-I;64 (28 | 99);643 (445 | 846);764 (431 | 1119);296 (166 | 493);;;;
;;;;;;;;
EXP 1A | IES SCORE (MUSICIANS VS NON-MUSICIANS);;;;;;;;
;/a/;;/u/;;Bassoon;;Strings+Trumpet;
;M;N;M;N;M;N;M;N
I;577 (492 | 679);593 (527 | 658);786 (649 | 947);720 (627 | 816);806 (634 | 986);835 (741 | 923);501 (447 | 569);625 (541 | 720)
A;659 (575 | 752);634 (571 | 695);1465 (1079 | 1939);1314 (1075 | 1558);1531 (1149 | 2011);1613 (1079 | 2242);802 (645 | 1034);911 (715 | 1225)
A-I;82 (25 | 137);44 (3 | 78);681 (376 | 1058);598 (372 | 828);742 (350 | 1151);770 (271 | 1341);309 (196 | 468);286 (97 | 587)
;;;;;;;;
;;;;;;;;
EXP 1A | Anova;;;;;;;;
------;------;------;------;;;;;
Term;FStat;DF1;DF2;pValue;;;;
(Intercept);14.0093025670876;1;975;0.000192543512820529;;;;
ACC;5.65619000896617;1;975;0.0175857067916309;;;;
VOX;0.0141269984823208;1;975;0.905413092353994;;;;
MSI_P;0.32621450593178;1;975;0.568028294948229;;;;
MSI_T;1.48728611552807;1;975;0.222932941956832;;;;
FMM;0.0601011667087107;1;975;0.806387702586509;;;;
ACC:VOX;0.00385229728980532;1;975;0.950522294754029;;;;
ACC:MSI_P;0.639159262897219;1;975;0.424210126623589;;;;
VOX:MSI_P;0.320360982383323;1;975;0.571521029877866;;;;
ACC:MSI_T;2.46819352503868;1;975;0.116495816254239;;;;
VOX:MSI_T;0.730365284653304;1;975;0.392974747474365;;;;
MSI_P:MSI_T;0.447291844839993;1;975;0.503782140780753;;;;
ACC:FMM;0.00887340180044494;1;975;0.924970643262489;;;;
VOX:FMM;0.450729506577964;1;975;0.50214775099781;;;;
MSI_P:FMM;0.0996443452079322;1;975;0.752324406617146;;;;
MSI_T:FMM;0.00874956885985118;1;975;0.9254944820902;;;;
ACC:VOX:MSI_P;0.0530708012786075;1;975;0.817851813439069;;;;
ACC:VOX:MSI_T;0.511579431729595;1;975;0.474627164002191;;;;
ACC:MSI_P:MSI_T;1.29568431168587;1;975;0.255282658347193;;;;
VOX:MSI_P:MSI_T;0.76480432244376;1;975;0.382044554654778;;;;
ACC:VOX:FMM;0.514071084524012;1;975;0.473553524482858;;;;
ACC:MSI_P:FMM;0.00861257600122373;1;975;0.926078365788451;;;;
VOX:MSI_P:FMM;0.0103719547608496;1;975;0.918902397338903;;;;
ACC:MSI_T:FMM;0.136691433830731;1;975;0.7116728708658;;;;
VOX:MSI_T:FMM;1.31949258214312;1;975;0.250964863673389;;;;
MSI_P:MSI_T:FMM;0.0437375537488584;1;975;0.834386341447168;;;;
ACC:VOX:MSI_P:MSI_T;0.254691618280242;1;975;0.613904804768515;;;;
ACC:VOX:MSI_P:FMM;0.0287960470608894;1;975;0.865286009689997;;;;
ACC:VOX:MSI_T:FMM;0.641266143341913;1;975;0.423447767944659;;;;
ACC:MSI_P:MSI_T:FMM;0.0324797023816893;1;975;0.857016319113802;;;;
VOX:MSI_P:MSI_T:FMM;0.131752778727179;1;975;0.716700250352366;;;;
ACC:VOX:MSI_P:MSI_T:FMM;0.0755358337684396;1;975;0.783499057141271;;;;
;;;;;;;;
;;;;;;;;
EXP 1A | GLME ALL;;;;;;;;
------;------;------;------;;;;;
Name;Estimate;SE;tStat;DF;pValue;Lower;Upper;
(Intercept);1264.04244982001;337.717372225895;3.74290028815724;975;0.000192543512820529;601.305859957369;1926.77903968265;
ACC_0;-362.911314898877;152.594371126575;-2.37827458653667;975;0.0175857067916309;-662.362517204856;-63.4601125928985;
VOX_0;-18.1369168934694;152.594371126573;-0.118857050620991;975;0.905413092353994;-317.588119199446;281.314285412507;
MSI_P;-16.5231535071189;28.9295250114951;-0.571151911431433;975;0.568028294948229;-73.2944549835495;40.2481479693117;
MSI_T;-11.2548529636212;9.22874325082013;-1.21954340452813;975;0.222932941956832;-29.3653392274883;6.85563330024595;
FMM_1;37.4093330205504;152.594371126583;0.245155392983125;975;0.806387702586509;-262.041869285446;336.860535326547;
ACC_0:VOX_0;-9.47105614876029;152.59437112658;-0.0620668775580448;975;0.950522294754029;-308.92225845475;289.980146157229;
ACC_0:MSI_P;10.4503720529338;13.0715536221567;0.799474366629237;975;0.424210126623589;-15.2012454953638;36.1019896012314;
VOX_0:MSI_P;7.39855688303595;13.0715536221565;0.566004401381582;975;0.571521029877866;-18.2530606652614;33.0501744313333;
ACC_0:MSI_T;6.55282652116276;4.17098920946443;1.5710485431834;975;0.116495816254239;-1.63232293329093;14.7379759756165;
VOX_0:MSI_T;3.56458624971513;4.1709892094644;0.854614114471148;975;0.392974747474366;-4.62056320473851;11.7497357041688;
MSI_P:MSI_T;0.4496622715772;0.672343112116134;0.668798807445104;975;0.503782140780753;-0.869743888682253;1.76906843183665;
ACC_0:FMM_1;-14.3741968293639;152.594371126583;-0.0941987356626666;975;0.924970643262489;-313.82539913536;285.077005476632;
VOX_0:FMM_1;102.446354430801;152.594371126574;0.671363915159256;975;0.50214775099781;-197.004847875176;401.897556736778;
MSI_P:FMM_1;-4.12623100065988;13.0715536221577;-0.315664925526946;975;0.752324406617146;-29.7778485489595;21.5253865476398;
MSI_T:FMM_1;-0.390150702309505;4.17098920946462;-0.0935391300999276;975;0.9254944820902;-8.57530015676358;7.79499875214457;
ACC_0:VOX_0:MSI_P;-3.0113069826913;13.0715536221572;-0.230371007895107;975;0.817851813439069;-28.66292453099;22.6403105656074;
ACC_0:VOX_0:MSI_T;-2.98329090349242;4.17098920946457;-0.715247811411957;975;0.474627164002191;-11.1684403579464;5.20185855096155;
ACC_0:MSI_P:MSI_T;-0.345810322137374;0.303800407658979;-1.13828129725735;975;0.255282658347193;-0.941988258865242;0.250367614590495;
VOX_0:MSI_P:MSI_T;-0.26568284868765;0.303800407658976;-0.874530915659224;975;0.382044554654778;-0.861860785415512;0.330495088040212;
ACC_0:VOX_0:FMM_1;-109.408257664978;152.594371126583;-0.716987506532723;975;0.473553524482858;-408.859459970973;190.042944641018;
ACC_0:MSI_P:FMM_1;1.2130920105862;13.0715536221576;0.0928039654391111;975;0.926078365788451;-24.4385255377133;26.8647095588857;
VOX_0:MSI_P:FMM_1;-1.3312435473656;13.0715536221567;-0.101842794349181;975;0.918902397338903;-26.9828610956633;24.3203740009321;
ACC_0:MSI_T:FMM_1;1.54208998206124;4.17098920946461;0.369718046395805;975;0.7116728708658;-6.64305947239282;9.7272394365153;
VOX_0:MSI_T:FMM_1;-4.79118061397702;4.17098920946438;-1.14869168280401;975;0.250964863673389;-12.9763300684306;3.39396884047658;
MSI_P:MSI_T:FMM_1;0.0635353749004493;0.303800407659003;0.20913525228631;975;0.834386341447168;-0.532642561827466;0.659713311628364;
ACC_0:VOX_0:MSI_P:MSI_T;0.153318894358771;0.303800407658993;0.50466981114412;975;0.613904804768515;-0.442859042369124;0.749496831086665;
ACC_0:VOX_0:MSI_P:FMM_1;2.21816396711753;13.0715536221576;0.169693980626566;975;0.865286009689997;-23.433453581182;27.869781515417;
ACC_0:VOX_0:MSI_T:FMM_1;3.34009040560123;4.1709892094646;0.800790948588902;975;0.423447767944658;-4.8450590488528;11.5252398600553;
ACC_0:MSI_P:MSI_T:FMM_1;-0.0547512921099107;0.303800407659001;-0.180221259516432;975;0.857016319113802;-0.650929228837821;0.541426644618;
VOX_0:MSI_P:MSI_T:FMM_1;0.110272759852152;0.303800407658979;0.362977655961327;975;0.716700250352366;-0.485905176875717;0.70645069658002;
ACC_0:VOX_0:MSI_P:MSI_T:FMM_1;-0.0834958453298549;0.303800407659001;-0.274837831763459;975;0.783499057141271;-0.679673782057765;0.512682091398056;
;;;;;;;;
;;;;;;;;
EXP 1A | GLME SUBSET;;;;;;;;
------;------;------;------;;;;;
Name;Estimate;SE;tStat;DF;pValue;Lower;Upper;
(Intercept);574.167332676368;70.1237273871801;8.18791804243618;999;8.05771431037137e-16;436.560635015293;711.774030337444;
ACC_1;72.9158657390484;78.7197158531952;0.926271963113148;999;0.354528371367441;-81.5590964883123;227.390827966409;
CAT_Strings+Trumpet;-13.4412045574032;71.86094015532;-0.18704465219007;999;0.851663602123444;-154.45690686021;127.574497745403;
CAT_Bassoon;246.105173097726;78.7197158531952;3.12634732519472;999;0.00182106938099457;91.6302108703649;400.580135325086;
CAT_/u/;236.898446278305;78.9009268389532;3.00247989179955;999;0.00274453619097244;82.0678862203783;391.729006336231;
ACC_1:CAT_Strings+Trumpet;234.719519313315;101.626716172535;2.30962416334327;999;0.0211121418430902;35.2932006091194;434.145838017511;
ACC_1:CAT_Bassoon;710.232528746999;111.326489785745;6.37972624587273;999;2.70919301448614e-10;491.771942117994;928.693115376005;
ACC_1:CAT_/u/;474.50684036811;111.454698959055;4.25739645613711;999;2.26310457861577e-05;255.794663562621;693.2190171736;
