ACC;CAT;VOX;SUB;MSI_P;MSI_T;MUS;FMM;IES
0;/a/;1;1;11;38;1;2;648.317435089587
0;/a/;1;3;13;45;1;2;927.546004997009
0;/a/;1;5;14;37;1;2;525.917185176366
0;/a/;1;6;17;43;1;2;425.931800878847
0;/a/;1;7;13;47;1;2;690.080862414468
0;/a/;1;13;16;43;1;2;483.218623234452
0;/a/;1;16;9;33;1;2;375.870342469038
0;/a/;1;17;9;36;1;2;316.546312702576
0;/a/;1;21;12;47;1;2;627.767856212729
0;/a/;1;22;7;23;1;2;486.012316069762
0;/a/;1;23;10;51;1;2;929.9377690921
0;/a/;1;25;13;35;1;2;689.645068697189
0;/a/;1;1;11;38;1;2;531.156570618108
0;/a/;1;3;13;45;1;2;819.991463685897
0;/a/;1;5;14;37;1;2;451.851874799005
0;/a/;1;6;17;43;1;2;411.544839293478
0;/a/;1;7;13;47;1;2;684.470819845925
0;/a/;1;13;16;43;1;2;526.620825611398
0;/a/;1;16;9;33;1;2;421.266075757654
0;/a/;1;17;9;36;1;2;370.244863363715
0;/a/;1;21;12;47;1;2;641.761685276758
0;/a/;1;22;7;23;1;2;405.621539220455
0;/a/;1;23;10;51;1;2;599.978325537754
0;/a/;1;25;13;35;1;2;587.280929874601
0;/u/;1;1;11;38;1;2;521.899710086011
0;/u/;1;3;13;45;1;2;915.98130537381
0;/u/;1;5;14;37;1;2;562.365658394489
0;/u/;1;6;17;43;1;2;485.480220604873
0;/u/;1;7;13;47;1;2;549.409395824197
0;/u/;1;13;16;43;1;2;467.711062470195
0;/u/;1;16;9;33;1;2;337.322263956099
0;/u/;1;17;9;36;1;2;320.307269680041
0;/u/;1;21;12;47;1;2;701.183747027676
0;/u/;1;22;7;23;1;2;463.288533367055
0;/u/;1;23;10;51;1;2;875.344700879679
0;/u/;1;25;13;35;1;2;671.068430469059
0;/u/;1;1;11;38;1;2;512.309754493699
0;/u/;1;3;13;45;1;2;948.124505098586
0;/u/;1;5;14;37;1;2;1275.6883227692
0;/u/;1;6;17;43;1;2;481.14355401717
0;/u/;1;7;13;47;1;2;527.633391514083
0;/u/;1;13;16;43;1;2;539.027724243997
0;/u/;1;16;9;33;1;2;368.067834409833
0;/u/;1;17;9;36;1;2;294.853968667838
0;/u/;1;21;12;47;1;2;604.901270109099
0;/u/;1;22;7;23;1;2;410.521753035567
0;/u/;1;23;10;51;1;2;730.527102145205
0;/u/;1;25;13;35;1;2;541.689500477556
0;Strings;0;1;11;38;1;2;609.51312306105
0;Strings;0;3;13;45;1;2;656.024356019
0;Strings;0;5;14;37;1;2;459.963759810083
0;Strings;0;6;17;43;1;2;479.786203765076
0;Strings;0;7;13;47;1;2;563.704623432846
0;Strings;0;13;16;43;1;2;649.852243889908
0;Strings;0;16;9;33;1;2;361.365980381937
0;Strings;0;17;9;36;1;2;298.434073069961
0;Strings;0;21;12;47;1;2;636.216974254315
0;Strings;0;22;7;23;1;2;573.162398563449
0;Strings;0;23;10;51;1;2;749.38440581659
0;Strings;0;25;13;35;1;2;669.720125108961
0;Strings;0;1;11;38;1;2;700.801415779413
0;Strings;0;3;13;45;1;2;704.240061234589
0;Strings;0;5;14;37;1;2;546.591433261918
0;Strings;0;6;17;43;1;2;578.639554659408
0;Strings;0;7;13;47;1;2;516.953033608745
0;Strings;0;13;16;43;1;2;697.851295320694
0;Strings;0;16;9;33;1;2;403.516502674722
0;Strings;0;17;9;36;1;2;333.65973987086
0;Strings;0;21;12;47;1;2;776.654956514261
0;Strings;0;22;7;23;1;2;567.991261998186
0;Strings;0;23;10;51;1;2;797.781244909671
0;Strings;0;25;13;35;1;2;667.319695454257
0;/a/;1;2;26;36;2;2;541.139519634094
0;/a/;1;4;20;43;2;2;695.182502493548
0;/a/;1;8;14;51;2;2;424.355959867995
0;/a/;1;9;19;53;2;2;538.989796650749
0;/a/;1;10;32;57;2;2;748.779373808123
0;/a/;1;11;19;49;2;2;480.999032438024
0;/a/;1;12;20;42;2;2;452.014646444118
0;/a/;1;14;26;53;2;2;624.897583509776
0;/a/;1;18;10;55;2;2;701.594732858569
0;/a/;1;19;18;52;2;2;510.578605021852
0;/a/;1;20;25;40;2;2;636.909806021469
0;/a/;1;24;42;58;2;2;427.137555876287
0;/a/;1;2;26;36;2;2;562.241483989472
0;/a/;1;4;20;43;2;2;548.106090746014
0;/a/;1;8;14;51;2;2;441.628033248026
0;/a/;1;9;19;53;2;2;588.307927440746
0;/a/;1;10;32;57;2;2;569.195911199842
0;/a/;1;11;19;49;2;2;364.035742254261
0;/a/;1;12;20;42;2;2;485.932387391022
0;/a/;1;14;26;53;2;2;614.269032947901
0;/a/;1;15;40;56;2;2;1085.85133040328
0;/a/;1;18;10;55;2;2;624.169271053241
0;/a/;1;19;18;52;2;2;468.548777999617
0;/a/;1;20;25;40;2;2;592.636601258006
0;/a/;1;24;42;58;2;2;436.527147717315
0;/u/;1;2;26;36;2;2;585.561553920364
0;/u/;1;4;20;43;2;2;600.441623287284
0;/u/;1;8;14;51;2;2;410.873542519005
0;/u/;1;9;19;53;2;2;507.839083460508
0;/u/;1;10;32;57;2;2;652.240991896568
0;/u/;1;11;19;49;2;2;392.760760486889
0;/u/;1;12;20;42;2;2;452.189930026241
0;/u/;1;14;26;53;2;2;597.5559059458
0;/u/;1;15;40;56;2;2;1039.30411597272
0;/u/;1;18;10;55;2;2;732.736983518789
0;/u/;1;19;18;52;2;2;475.125144827521
0;/u/;1;20;25;40;2;2;612.39783538816
0;/u/;1;24;42;58;2;2;501.877405481384
0;/u/;1;2;26;36;2;2;503.03046854313
0;/u/;1;4;20;43;2;2;718.516555870568
0;/u/;1;8;14;51;2;2;423.108885026664
0;/u/;1;9;19;53;2;2;691.840874195099
0;/u/;1;10;32;57;2;2;650.394091957239
0;/u/;1;11;19;49;2;2;422.668621692413
0;/u/;1;12;20;42;2;2;423.852185270426
0;/u/;1;14;26;53;2;2;680.228458908227
0;/u/;1;15;40;56;2;2;1570.10184210158
0;/u/;1;18;10;55;2;2;840.919336144937
0;/u/;1;19;18;52;2;2;502.537005935742
0;/u/;1;20;25;40;2;2;700.504173001371
0;/u/;1;24;42;58;2;2;589.570038768833
0;Strings;0;2;26;36;2;2;603.198262016677
0;Strings;0;4;20;43;2;2;607.036506040772
0;Strings;0;8;14;51;2;2;335.455058192235
0;Strings;0;9;19;53;2;2;661.091652829019
0;Strings;0;10;32;57;2;2;495.516255227791
0;Strings;0;11;19;49;2;2;331.614625840091
0;Strings;0;12;20;42;2;2;531.207961546316
0;Strings;0;14;26;53;2;2;600.380091848123
0;Strings;0;15;40;56;2;2;731.398960275494
0;Strings;0;18;10;55;2;2;523.825547864561
0;Strings;0;19;18;52;2;2;480.804062679187
0;Strings;0;20;25;40;2;2;780.018506808112
0;Strings;0;24;42;58;2;2;473.131807135393
0;Strings;0;2;26;36;2;2;973.590901377892
0;Strings;0;4;20;43;2;2;621.049883866029
0;Strings;0;8;14;51;2;2;417.780614354777
0;Strings;0;9;19;53;2;2;813.833658472346
0;Strings;0;10;32;57;2;2;539.270812210688
0;Strings;0;11;19;49;2;2;369.659728788611
0;Strings;0;12;20;42;2;2;611.878444381136
0;Strings;0;14;26;53;2;2;683.726459410133
0;Strings;0;15;40;56;2;2;772.8360487592
0;Strings;0;18;10;55;2;2;526.254043415005
0;Strings;0;19;18;52;2;2;460.762052808248
0;Strings;0;20;25;40;2;2;748.90325051557
0;Strings;0;24;42;58;2;2;493.303372226301
1;/a/;1;1;11;38;1;2;619.125203800528
1;/a/;1;3;13;45;1;2;853.776870748299
1;/a/;1;5;14;37;1;2;600.505584950029
1;/a/;1;6;17;43;1;2;576.087029853264
1;/a/;1;7;13;47;1;2;645.510204081633
1;/a/;1;13;16;43;1;2;742.163265306122
1;/a/;1;16;9;33;1;2;468.223983808399
1;/a/;1;17;9;36;1;2;451.074829931973
1;/a/;1;21;12;47;1;2;893.061224489796
1;/a/;1;22;7;23;1;2;870.514285714286
1;/a/;1;23;10;51;1;2;539.096749811036
1;/a/;1;25;13;35;1;2;862.637104224406
1;/a/;1;1;11;38;1;2;676.960544217687
1;/a/;1;3;13;45;1;2;675.505706414797
1;/a/;1;5;14;37;1;2;463.735827664399
1;/a/;1;6;17;43;1;2;514.019274376417
1;/a/;1;7;13;47;1;2;759.01738473167
1;/a/;1;13;16;43;1;2;603.204837490552
1;/a/;1;16;9;33;1;2;366.921768707483
1;/a/;1;17;9;36;1;2;398.110355253212
1;/a/;1;21;12;47;1;2;797.865121357185
1;/a/;1;22;7;23;1;2;736.560544217687
1;/a/;1;23;10;51;1;2;538.373015873016
1;/a/;1;25;13;35;1;2;605.05291005291
1;/u/;1;1;11;38;1;2;890.182823129252
1;/u/;1;3;13;45;1;2;1008.05408583186
1;/u/;1;5;14;37;1;2;616.941496598639
1;/u/;1;6;17;43;1;2;764.37557739145
1;/u/;1;7;13;47;1;2;1090.04303762321
1;/u/;1;13;16;43;1;2;824.810615604266
1;/u/;1;16;9;33;1;2;569.485176786764
1;/u/;1;17;9;36;1;2;576.435710086504
1;/u/;1;21;12;47;1;2;1688.27755102041
1;/u/;1;22;7;23;1;2;1034.36649659864
1;/u/;1;23;10;51;1;2;830.416666666667
1;/u/;1;25;13;35;1;2;1891.2925170068
1;/u/;1;27;22;37;1;2;546.474391409456
1;/u/;1;1;11;38;1;2;1002.18520061086
1;/u/;1;3;13;45;1;2;1326.73469387755
1;/u/;1;5;14;37;1;2;1186.91609977324
1;/u/;1;6;17;43;1;2;1796.88775510204
1;/u/;1;7;13;47;1;2;1198.43676246009
1;/u/;1;13;16;43;1;2;998.244047619048
1;/u/;1;16;9;33;1;2;859.826152683296
1;/u/;1;17;9;36;1;2;640.468631897203
1;/u/;1;21;12;47;1;2;853.126530612245
1;/u/;1;22;7;23;1;2;1895.51020408163
1;/u/;1;23;10;51;1;2;1054.17517006803
1;/u/;1;25;13;35;1;2;2078.84353741497
1;/u/;1;27;22;37;1;2;617.886096587395
1;Strings;0;1;11;38;1;2;1004.00554656167
1;Strings;0;3;13;45;1;2;1117.04246177911
1;Strings;0;5;14;37;1;2;585.573636451352
1;Strings;0;6;17;43;1;2;949.00041178244
1;Strings;0;7;13;47;1;2;863.090099060444
1;Strings;0;13;16;43;1;2;622.534424976675
1;Strings;0;16;9;33;1;2;1388.02143003035
1;Strings;0;17;9;36;1;2;506.428995992491
1;Strings;0;21;12;47;1;2;940.460911872337
1;Strings;0;22;7;23;1;2;726.507090450777
1;Strings;0;23;10;51;1;2;1098.7330903561
1;Strings;0;25;13;35;1;2;884.33379005993
1;Strings;0;1;11;38;1;2;858.573402950291
1;Strings;0;3;13;45;1;2;1261.04457813281
1;Strings;0;5;14;37;1;2;642.073067092122
1;Strings;0;6;17;43;1;2;989.249162645471
1;Strings;0;7;13;47;1;2;977.750972346482
1;Strings;0;13;16;43;1;2;842.951984764133
1;Strings;0;16;9;33;1;2;992.199662295399
1;Strings;0;17;9;36;1;2;646.873614048721
1;Strings;0;21;12;47;1;2;1440.69368824153
1;Strings;0;22;7;23;1;2;1007.09550146978
1;Strings;0;23;10;51;1;2;1467.91193716913
1;Strings;0;25;13;35;1;2;1273.67003622329
1;/a/;1;2;26;36;2;2;571.625094482237
1;/a/;1;4;20;43;2;2;945.00850340136
1;/a/;1;8;14;51;2;2;419.221466364323
1;/a/;1;9;19;53;2;2;672.067240119188
1;/a/;1;10;32;57;2;2;724.665204924945
1;/a/;1;11;19;49;2;2;560.854421768708
1;/a/;1;12;20;42;2;2;868.969513731419
1;/a/;1;14;26;53;2;2;1014.55782312925
1;/a/;1;15;40;56;2;2;721.073318216175
1;/a/;1;18;10;55;2;2;593.478835978836
1;/a/;1;19;18;52;2;2;701.485714285714
1;/a/;1;20;25;40;2;2;493.0550058899
1;/a/;1;2;26;36;2;2;613.206274245235
1;/a/;1;4;20;43;2;2;956.177721088435
1;/a/;1;8;14;51;2;2;501.232048374905
1;/a/;1;9;19;53;2;2;645.07449260696
1;/a/;1;10;32;57;2;2;697.087760724124
1;/a/;1;11;19;49;2;2;524.165963906224
1;/a/;1;12;20;42;2;2;577.052154195011
1;/a/;1;14;26;53;2;2;819.821953472747
1;/a/;1;15;40;56;2;2;800.327380952381
1;/a/;1;18;10;55;2;2;505.712396069539
1;/a/;1;19;18;52;2;2;635.446376081297
1;/a/;1;20;25;40;2;2;567.877189819019
1;/u/;1;2;26;36;2;2;652.634013605442
1;/u/;1;4;20;43;2;2;1008.26105442177
1;/u/;1;8;14;51;2;2;1333.16704459562
1;/u/;1;9;19;53;2;2;784.128663811203
1;/u/;1;10;32;57;2;2;1119.66402887686
1;/u/;1;11;19;49;2;2;490.804988662132
1;/u/;1;12;20;42;2;2;965.93537414966
1;/u/;1;14;26;53;2;2;2026.59863945578
1;/u/;1;18;10;55;2;2;1108.16326530612
1;/u/;1;19;18;52;2;2;779.812925170068
1;/u/;1;20;25;40;2;2;1730.62925170068
1;/u/;1;24;42;58;2;2;333.291761148904
1;/u/;1;2;26;36;2;2;781.779591836735
1;/u/;1;4;20;43;2;2;2657.06727135299
1;/u/;1;8;14;51;2;2;2339.72789115646
1;/u/;1;9;19;53;2;2;1043.71173469388
1;/u/;1;10;32;57;2;2;1971.14013605442
1;/u/;1;11;19;49;2;2;661.938355589149
1;/u/;1;12;20;42;2;2;1060.46343537415
1;/u/;1;14;26;53;2;2;2643.52229780801
1;/u/;1;15;40;56;2;2;1571.88964474679
1;/u/;1;18;10;55;2;2;1200.33257747543
1;/u/;1;19;18;52;2;2;1040.90795501874
1;/u/;1;20;25;40;2;2;1660.51020408163
1;/u/;1;24;42;58;2;2;425.405071119357
1;Strings;0;2;26;36;2;2;650.486595304842
1;Strings;0;4;20;43;2;2;813.045405528355
1;Strings;0;8;14;51;2;2;581.503956652206
1;Strings;0;9;19;53;2;2;676.20618060151
1;Strings;0;10;32;57;2;2;703.006363263608
1;Strings;0;11;19;49;2;2;520.953360262496
1;Strings;0;12;20;42;2;2;699.720751540149
1;Strings;0;14;26;53;2;2;698.093124408038
1;Strings;0;15;40;56;2;2;1394.03313307454
1;Strings;0;18;10;55;2;2;726.465858415003
1;Strings;0;19;18;52;2;2;704.284765623472
1;Strings;0;20;25;40;2;2;897.019512873791
1;Strings;0;24;42;58;2;2;575.556339819076
1;Strings;0;28;14;51;2;2;593.765283646341
1;Strings;0;2;26;36;2;2;1012.76686352416
1;Strings;0;4;20;43;2;2;1385.63434397027
1;Strings;0;8;14;51;2;2;718.494895649669
1;Strings;0;9;19;53;2;2;788.675361894975
1;Strings;0;10;32;57;2;2;806.159241549722
1;Strings;0;11;19;49;2;2;530.304876159087
1;Strings;0;12;20;42;2;2;717.284335363177
1;Strings;0;14;26;53;2;2;747.421874845689
1;Strings;0;15;40;56;2;2;1780.3884376257
1;Strings;0;18;10;55;2;2;702.13875061808
1;Strings;0;19;18;52;2;2;628.805919990519
1;Strings;0;20;25;40;2;2;766.928387956581
1;Strings;0;24;42;58;2;2;646.855419346543
1;Strings;0;28;14;51;2;2;642.035734871981
